,gen,importancia
119,Glyma.20G037150,0.0008836544716940242
120,Glyma.04G041551,0.0008833514374903938
121,Glyma.02G233366,0.0008822530723302881
122,Glyma.19G058700,0.0008814717457942775
123,Glyma.17G204401,0.0008767518898996056
124,Glyma.14G204200,0.0008753273930400498
125,Glyma.02G015151,0.0008683848940942014
126,Glyma.05G084450,0.0008540201989598052
127,Glyma.16G192666,0.0008398485032100642
128,Glyma.20G114966,0.0008335101820791252
129,Glyma.15G231200,0.000825690362690714
130,Glyma.02G108450,0.0008243193585932752
131,Glyma.20G003951,0.0008242435762150127
132,Glyma.20G011400,0.000822588575093534
133,Glyma.12G143100,0.0008215548196443462
134,Glyma.15G025666,0.0008194631443993872
135,Glyma.08G354100,0.0008179787482421083
136,Glyma.09G034100,0.0008101275470527612
137,Glyma.18G251850,0.0008056673292184251
138,Glyma.02G275950,0.0007995894034778167
139,Glyma.06G066800,0.0007950419261464346
140,Glyma.16G108250,0.0007929379098135212
141,Glyma.08G086900,0.0007916254710441385
142,Glyma.14G009800,0.0007899794461665161
143,Glyma.17G164450,0.0007872490631996412
144,Glyma.01G132100,0.000781428849552859
145,Glyma.05G067450,0.0007777086422236202
146,Glyma.09G171832,0.000764349383722419
147,Glyma.09G158000,0.0007612469773087436
148,Glyma.16G193466,0.0007597884561673999
149,Glyma.U031212,0.0007503487631896165
150,Glyma.16G107350,0.0007448063574999217
151,Glyma.13G038150,0.0007437285884973714
152,Glyma.09G054500,0.0007428247940660036
153,Glyma.08G173050,0.0007414311308168889
154,Glyma.12G177625,0.0007412118284236097
155,Glyma.02G310100,0.0007378515714583419
156,Glyma.13G038100,0.0007370997726634345
157,Glyma.18G155500,0.000735106977505357
158,Glyma.13G006000,0.0007291683408566802
159,Glyma.11G225000,0.0007258821771927675
160,Glyma.07G238625,0.0007216319994366098
161,Glyma.06G028300,0.000721469116455801
162,Glyma.17G141151,0.000716650760757211
163,Glyma.17G254600,0.0007155391529257676
164,Glyma.19G181600,0.0007108982605123666
165,Glyma.08G313900,0.000710612903105061
166,Glyma.15G241200,0.000699211677380391
167,Glyma.15G131950,0.0006976083313932611
168,Glyma.17G068200,0.0006959137424821939
169,Glyma.09G109902,0.0006955012947603749
170,Glyma.19G021900,0.000685659030407632
171,Glyma.12G050400,0.0006814142921804206
172,Glyma.03G049000,0.0006804874777863549
173,Glyma.14G040100,0.0006786567209287767
174,Glyma.10G226200,0.0006766802135333385
175,Glyma.03G015950,0.0006740491199522775
176,Glyma.11G176306,0.0006735542145139107
177,Glyma.09G092650,0.0006720335033449636
178,Glyma.12G190600,0.000668014185601513
179,Glyma.18G138751,0.0006669638731556164
180,Glyma.05G244500,0.000665901171721225
181,Glyma.16G108500,0.0006658643682439748
182,Glyma.13G079100,0.0006623160141076701
183,Glyma.13G283266,0.0006619683472614222
184,Glyma.12G003200,0.0006579465867267804
185,Glyma.14G069950,0.0006577693841471476
186,Glyma.02G181950,0.0006577446576672121
187,Glyma.19G146701,0.0006577262700908253
188,Glyma.06G309700,0.0006560788102758279
189,Glyma.18G129800,0.0006544783263191281
190,Glyma.19G073500,0.0006541556025430163
191,Glyma.05G133433,0.0006520312273354135
192,Glyma.04G092000,0.0006497220601082447
193,Glyma.20G149751,0.0006462461336144192
194,Glyma.19G100850,0.0006460914111497284
195,Glyma.18G112800,0.0006445672875019981
196,Glyma.11G233200,0.0006407364010219106
197,Glyma.05G133500,0.0006391687154397255
198,Glyma.08G312500,0.0006391260281026193
199,Glyma.13G226300,0.0006342926090141171
200,Glyma.02G075400,0.0006334244462776832
201,Glyma.11G118150,0.0006331246417113034
202,Glyma.05G001300,0.000628516378327095
203,Glyma.03G256000,0.0006279051048441698
204,Glyma.18G115100,0.0006274775790296394
205,Glyma.08G179350,0.0006274301158347632
206,Glyma.18G081301,0.0006272040149690466
