,0
431,SAMN09715959
432,SAMN09715960
433,SAMN09715961
434,SAMN09715962
435,SAMN09715963
436,SAMN09715964
437,SAMN09715965
438,SAMN09715966
439,SAMN09715971
440,SAMN09715972
441,SAMN09715973
442,SAMN09715974
443,SAMN09715975
444,SAMN09715976
445,SAMN09715977
446,SAMN09715978
447,SAMN09715979
448,SAMN09715980
449,SAMN09715981
450,SAMN09715983
451,SAMN09715984
452,SAMN09715985
453,SAMN09715986
454,SAMN09715987
455,SAMN09715988
456,SAMN09715989
457,SAMN09715990
458,SAMN09715992
459,SAMN09715994
460,SAMN09715995
461,SAMN09715996
462,SAMN09715997
463,SAMN09715998
464,SAMN09716000
465,SAMN09716001
466,SAMN09716002
467,SAMN09716003
468,SAMN09716004
469,SAMN09716005
470,SAMN09716006
471,SAMN09716007
472,SAMN09716008
473,SAMN09716009
474,SAMN09716010
475,SAMN09716012
476,SAMN09716013
477,SAMN09716014
478,SAMN09716015
479,SAMN09716016
480,SAMN09716018
481,SAMN09716019
482,SAMN09716020
483,SAMN09716021
484,SAMN09716022
485,SAMN09716024
486,SAMN09716025
487,SAMN09716027
488,SAMN09716028
489,SAMN09716029
490,SAMN09716031
491,SAMN09716032
492,SAMN09716033
493,SAMN09716034
494,SAMN09716035
495,SAMN09716036
496,SAMN09716037
497,SAMN09716040
498,SAMN09716041
499,SAMN09716043
500,SAMN09716045
501,SAMN09716046
502,SAMN09716047
503,SAMN09716048
504,SAMN09716050
505,SAMN09716051
506,SAMN09716052
507,SAMN09716053
508,SAMN09716054
509,SAMN09716055
510,SAMN09716056
511,SAMN09716058
512,SAMN09716060
513,SAMN09716061
514,SAMN09716062
515,SAMN09716063
516,SAMN09716064
517,SAMN09716065
518,SAMN09716066
519,SAMN09716067
520,SAMN09716068
521,SAMN09716069
522,SAMN09716070
523,SAMN09716072
524,SAMN09716073
525,SAMN09716074
526,SAMN09716075
527,SAMN09716076
528,SAMN09716078
529,SAMN09716079
530,SAMN09716081
531,SAMN09716082
532,SAMN09716083
533,SAMN09716084
534,SAMN09716085
535,SAMN09716086
536,SAMN09716087
537,SAMN09716088
538,SAMN09716089
539,SAMN09716090
540,SAMN09716091
541,SAMN09716092
542,SAMN09716093
543,SAMN09716094
544,SAMN09716095
545,SAMN09716096
546,SAMN09716097
547,SAMN09716099
548,SAMN09716100
549,SAMN09716101
550,SAMN09716102
551,SAMN09716103
552,SAMN09716104
553,SAMN09716105
554,SAMN09716106
555,SAMN09716107
556,SAMN09716108
557,SAMN09716109
558,SAMN09716112
559,SAMN09716113
560,SAMN09716114
561,SAMN09716115
562,SAMN09716116
563,SAMN09716117
564,SAMN09716118
565,SAMN09716119
566,SAMN09716120
567,SAMN09716121
568,SAMN09716122
569,SAMN09716123
570,SAMN09716126
571,SAMN09716128
572,SAMN09716129
573,SAMN09716130
574,SAMN09716131
575,SAMN09716132
576,SAMN09716133
577,SAMN09716134
578,SAMN09716135
579,SAMN09716136
580,SAMN09716137
581,SAMN09716138
582,SAMN09716139
583,SAMN09716140
584,SAMN09716141
585,SAMN09716142
586,SAMN09716143
587,SAMN09716144
588,SAMN09716145
589,SAMN09716146
590,SAMN09716147
591,SAMN09716148
592,SAMN09716149
593,SAMN09716150
594,SAMN09716151
595,SAMN09716152
596,SAMN09716153
597,SAMN09716154
598,SAMN09716155
599,SAMN09716156
600,SAMN09716157
601,SAMN09716158
602,SAMN09716160
603,SAMN09716161
604,SAMN09716162
605,SAMN09716163
606,SAMN09716164
607,SAMN09716166
608,SAMN09716167
609,SAMN09716168
610,SAMN09716169
611,SAMN09716170
612,SAMN09716171
613,SAMN09716172
614,SAMN09716173
615,SAMN09716174
616,SAMN09716175
617,SAMN09716177
618,SAMN09716178
619,SAMN09716180
620,SAMN09716181
621,SAMN09716182
622,SAMN09716183
623,SAMN09716184
624,SAMN09716185
625,SAMN09716187
626,SAMN09716190
627,SAMN09716191
628,SAMN09716192
629,SAMN09716193
630,SAMN09716194
631,SAMN09716196
632,SAMN09716197
633,SAMN09716198
634,SAMN09716199
635,SAMN09716200
636,SAMN09716202
637,SAMN09716203
638,SAMN09716204
639,SAMN09716206
640,SAMN09716207
641,SAMN09716210
642,SAMN09716211
643,SAMN09716212
644,SAMN09716213
645,SAMN09716214
646,SAMN09716216
647,SAMN09716217
648,SAMN09716218
649,SAMN09716219
650,SAMN09716220
651,SAMN09716221
652,SAMN09716223
653,SAMN09716224
654,SAMN09716226
655,SAMN09716227
656,SAMN09716228
657,SAMN09716229
658,SAMN09716231
659,SAMN09716232
660,SAMN09716233
661,SAMN09716234
662,SAMN09716235
663,SAMN09716236
664,SAMN09716237
665,SAMN09716238
666,SAMN09716239
667,SAMN09716240
668,SAMN09716241
669,SAMN09716244
670,SAMN09716245
671,SAMN09716246
672,SAMN09716247
673,SAMN09716248
674,SAMN09716251
675,SAMN09716252
676,SAMN09716253
677,SAMN09716255
678,SAMN09716256
679,SAMN09716257
680,SAMN09716258
681,SAMN09716259
682,SAMN09716260
683,SAMN09716261
684,SAMN09716262
685,SAMN09716263
686,SAMN09716264
687,SAMN09716265
688,SAMN09716266
689,SAMN09716267
690,SAMN09716268
691,SAMN09716269
692,SAMN09716270
693,SAMN09716271
694,SAMN09716272
695,SAMN09716274
696,SAMN09716277
697,SAMN09716278
698,SAMN09716279
699,SAMN09716281
700,SAMN09716282
701,SAMN09716283
702,SAMN09716284
703,SAMN09716285
704,SAMN09716286
705,SAMN09716288
706,SAMN09716289
707,SAMN09716292
708,SAMN09716293
709,SAMN09716294
710,SAMN09716295
711,SAMN09716296
712,SAMN09716298
713,SAMN09716299
714,SAMN09716300
715,SAMN09716301
716,SAMN09716302
717,SAMN09716303
718,SAMN09716304
719,SAMN09716305
720,SAMN09716307
721,SAMN09716310
722,SAMN09716311
723,SAMN09716312
724,SAMN09716313
725,SAMN09716314
726,SAMN09716315
727,SAMN09716316
728,SAMN09716317
729,SAMN09716319
730,SAMN09716320
731,SAMN09716321
732,SAMN09716322
733,SAMN09716323
734,SAMN09716326
735,SAMN09716327
736,SAMN09716328
737,SAMN09716329
738,SAMN09716330
739,SAMN09716331
