Control/Treated,BioSample
con,SAMN03797939
con,SAMN03797939
stress,SAMN03797950
stress,SAMN03797950
stress,SAMN03797950
con,SAMN03797951
con,SAMN03797951
con,SAMN03797951
stress,SAMN03797952
stress,SAMN03797952
stress,SAMN03797952
,SAMN07521017
,SAMN07521016
,SAMN07521015
,SAMN07521014
,SAMN07521013
,SAMN07521012
,SAMN07521011
,SAMN07521038
,SAMN07521037
,SAMN07521040
,SAMN07521039
,SAMN07521045
,SAMN07521043
,SAMN07521041
,SAMN07521042
,SAMN07605646
,SAMN07605651
,SAMN07605647
,SAMN07605649
,SAMN07605648
,SAMN07605650
,SAMN04447890
,SAMN04447891
,SAMN04447888
,SAMN04447889
stress,SAMN07599987
stress,SAMN07599985
stress,SAMN07599986
,SAMN00769643
,SAMD00027203
,SAMN00828803
,SAMN00828804
,SAMN00829056
,SAMN00829198
,SAMN00839323
,SAMN00839324
,SAMN00765473
,SAMN00765474
,SAMN00765475
,SAMN00765476
,SAMN00765477
,SAMN00765509
,SAMN00765506
,SAMN00765513
,SAMN00765514
,SAMN00765515
,SAMN00765511
,SAMN00768936
con,SAMN00768937
,SAMN00738706
,SAMN00738707
,SAMN00740385
,SAMN00740386
con,SAMN05714716
con,SAMN05714715
stress,SAMN05714714
stress,SAMN05714713
con,SAMN05715276
con,SAMN05717627
stress,SAMN05717628
stress,SAMN05717629
,SAMN05937016
,SAMN05937015
,SAMN05937014
,SAMN05937026
,SAMN05937025
,SAMN05937024
,SAMN05937023
,SAMN05937022
,SAMN05937021
,SAMN05937020
,SAMN05937019
,SAMN05937018
,SAMN05929794
,SAMN05929793
,SAMN05929795
,SAMN07703165
,SAMN07703164
,SAMN07703163
,SAMN07703162
,SAMN07373142
,SAMN07373141
,SAMN07373140
,SAMN07373139
,SAMN07373138
,SAMN07373137
,SAMN07373136
,SAMN07373135
,SAMN07373194
,SAMN07373193
,SAMN07373192
,SAMN07373191
,SAMN07373190
,SAMN07373189
,SAMN07373188
,SAMN07373187
,SAMN07373186
,SAMN07373143
,SAMN07373174
,SAMN07373175
,SAMN07373133
,SAMN07373172
,SAMN07373171
,SAMN07373170
,SAMN07373169
,SAMN07373168
,SAMN07373167
,SAMN07373166
,SAMN07373165
,SAMN07373164
,SAMN07373163
,SAMN07373162
,SAMN07373161
,SAMN07373160
,SAMN07373159
,SAMN07373158
,SAMN07373157
,SAMN07373156
,SAMN07373155
,SAMN07373154
,SAMN07373153
,SAMN07373152
,SAMN07373151
,SAMN07373150
,SAMN07373149
,SAMN07373148
,SAMN07373147
,SAMN07373146
,SAMN07373145
,SAMN07373144
,SAMN07373185
,SAMN07373184
,SAMN07373183
,SAMN07373182
,SAMN07373181
,SAMN07373180
,SAMN07373179
,SAMN07373178
,SAMN07373177
,SAMN07373176
,SAMN03473682
,SAMN03473683
,SAMN03473684
,SAMN03473685
,SAMN03473686
,SAMN03473687
,SAMN03473688
,SAMN03473689
,SAMN03473690
,SAMN03473671
,SAMN03473672
,SAMN03473673
,SAMN03473674
,SAMN03473675
,SAMN03473676
,SAMN03473677
,SAMN03473678
,SAMN03473679
,SAMN03473680
,SAMN03473681
,SAMN05503916
,SAMN05503917
,SAMN05503915
,SAMN05503914
,SAMN05503913
,SAMN05503912
,SAMN07365933
,SAMN07365933
,SAMN07365932
,SAMN07365932
,SAMN00015232
,SAMN00015233
,SAMN00009684
,SAMN00009685
,SAMN00009686
,SAMN00009687
,SAMN00009688
,SAMN00009689
,SAMN00009690
,SAMN00009691
,SAMN00009692
,SAMN00009693
,SAMN00009694
,SAMN00009695
,SAMN00009696
,SAMN00009697
,SAMN00009698
,SAMN00009698
,SAMN00009698
,SAMN00009698
,SAMN00009699
,SAMN00009699
,SAMN00009699
,SAMN00009700
,SAMN00009700
,SAMN00009700
,SAMN00009700
,SAMN00009701
,SAMN00009701
,SAMN00009701
,SAMN00009702
,SAMN00009702
,SAMN00009702
,SAMN00009703
,SAMN00009703
,SAMN00009703
,SAMN00009704
,SAMN00009704
,SAMN00009704
,SAMN00009705
,SAMN00009705
,SAMN00009705
,SAMN00010675
,SAMN00010675
,SAMN00010676
,SAMN00010676
,SAMN03406697
,SAMN03406696
,SAMN03406694
,SAMN03406695
,SAMN03406693
,SAMN03406702
,SAMN03406706
,SAMN03406703
,SAMN03406710
,SAMN03406709
,SAMN03406707
,SAMN03406701
,SAMN03406700
,SAMN03406708
,SAMN03406705
,SAMN03406698
,SAMN03406704
,SAMN03406699
,SAMN00120318
con,SAMN05327831
,SAMN00013424
,SAMN00013425
,SAMN00013426
,SAMN00013427
,SAMN00002965
,SAMN00002965
,SAMN00000221
,SAMN00000221
,SAMN00000221
,SAMN00000221
,SAMN07337674
,SAMN07337673
,SAMN07337672
,SAMN07337671
,SAMN07337670
,SAMN07337669
,SAMN07337668
,SAMN07337667
,SAMN07337666
,SAMN07342102
,SAMN07342103
,SAMN07342104
,SAMN07342105
,SAMN07342106
,SAMN07342107
,SAMN00199011
,SAMN00199011
,SAMN00199011
,SAMN00199012
