biosample,estres,tejido
SAMN02225600,inoculated,hypocotyl
SAMN02225601,inoculated,hypocotyl
SAMN02225602,inoculated,hypocotyl
SAMN02225603,inoculated,hypocotyl
SAMN02225604,inoculated,hypocotyl
SAMN02225605,inoculated,hypocotyl
SAMN02225606,inoculated,hypocotyl
SAMN02225607,inoculated,hypocotyl
SAMN02225608,inoculated,hypocotyl
SAMN02225609,inoculated,hypocotyl
SAMN02225610,inoculated,hypocotyl
SAMN02324200,,root
SAMN02324424,,embryo
SAMN02324425,,cotyledon
SAMN02324426,,embryo
SAMN02324427,,seed
SAMN02352878,,root
SAMN02352879,acid,root
SAMN02352880,,root
SAMN02352881,control,root
SAMN02597090,control,
SAMN02597091,control,pod
SAMN02597093,,pod
SAMN02597094,control,
SAMN02597095,control,pod
SAMN02597097,,pod
SAMN02597098,control,
SAMN02597099,control,pod
SAMN02597101,,pod
SAMN02597102,control,
SAMN02597103,control,pod
SAMN02597105,,pod
SAMN02640338,,seed
SAMN02640339,,seed
SAMN02640340,,seed
SAMN02640341,,seed
SAMN02640342,,seed
SAMN02640343,,seed
SAMN02640344,,seed
SAMN02640345,,seed
SAMN02640346,,seed
SAMN02640347,,seed
SAMN02640348,,seed
SAMN02640349,,seed
SAMN02644800,,root
SAMN02644802,,cotyledon
SAMN02644803,,stem
SAMN02644804,,stem
SAMN02644805,,shoot
SAMN02644806,,leaf
SAMN02644807,,leaf
SAMN02644809,,leaf
SAMN02644810,,leaf
SAMN02644811,,leaf
SAMN02644817,,pod
SAMN02644818,,pod
SAMN02644819,,pod
SAMN02644820,,seed
SAMN02644821,,seed
SAMN02644822,,seed
SAMN02644823,,seed
SAMN02644824,,seed
SAMN02644825,,seed
SAMN02644826,,seed
SAMN02644827,,seed
SAMN02688407,,root
SAMN02688408,,cotyledon
SAMN02688409,,hypocotyl
SAMN02688411,,shoot
SAMN02688412,,shoot
SAMN02688413,,shoot
SAMN02688414,,stem
SAMN02709646,,seed
SAMN02709647,,seed
SAMN02709648,,seed
SAMN02709649,,seed
SAMN02709650,,seed
SAMN02709651,,seed
SAMN02709652,,seed
SAMN02709653,,seed
SAMN02709654,,seed
SAMN02741939,,cotyledon
SAMN02741944,,cotyledon
SAMN02742047,,cotyledon
SAMN02742632,,root
SAMN02742633,,root
SAMN02742634,,root
SAMN02742635,,root
SAMN02742636,,root
SAMN02742637,,root
SAMN02742638,,root
SAMN02742639,,root
SAMN02742640,,root
SAMN02742641,,root
SAMN02742642,,root
SAMN02742643,,root
SAMN02742644,,root
SAMN02742645,,root
SAMN02742646,,root
SAMN02742647,,root
SAMN02742648,,root
SAMN02742649,,root
SAMN02742650,,root
SAMN02742651,,root
SAMN02742652,,root
SAMN02776932,,seed
SAMN02776933,,seed
SAMN02776934,,seed
SAMN02776935,,seed
SAMN02776936,,seed
SAMN02776937,,seed
SAMN02776938,,seed
SAMN02776939,,seed
SAMN02776940,,seed
SAMN02776941,,seed
SAMN02776942,,seed
SAMN02776943,,seed
SAMN02776944,,seed
SAMN02776945,,seed
SAMN02776946,,seed
SAMN02776947,,seed
SAMN02776948,,seed
SAMN02776949,,seed
SAMN02776950,,seed
SAMN02776951,,seed
SAMN02776952,,seed
SAMN02776953,,seed
SAMN02776954,,seed
SAMN02776955,,seed
SAMN02776956,,seed
SAMN02776957,,seed
SAMN02776958,,seed
SAMN02776959,,seed
SAMN02776960,,seed
SAMN02776961,,seed
SAMN02799124,,root
SAMN02799128,,shoot
SAMN02799129,,shoot
SAMN02799130,,cotyledon
SAMN02799131,,shoot
SAMN02799133,,cotyledon
SAMN02799134,,cotyledon
SAMN02799135,,cotyledon
SAMN02799138,,cotyledon
SAMN02799141,,cotyledon
SAMN02799142,,cotyledon
SAMN02799143,,cotyledon
SAMN02799144,,cotyledon
SAMN02799146,,seed
SAMN02799147,,cotyledon
SAMN02799149,,seed
SAMN02799150,,seed
SAMN02849414,,pod
SAMN02849415,,pod
SAMN02870643,,cotyledon
SAMN02870674,,root
SAMN02870675,,root
SAMN02870676,,root
SAMN02870677,,root
SAMN02870678,,root
SAMN02870679,,root
SAMN02870680,,root
SAMN02870681,,root
SAMN02870682,,root
SAMN02870683,,root
SAMN02870684,,root
SAMN02870685,,root
SAMN02870686,,root
SAMN02870688,,root
SAMN02870689,,root
SAMN02870690,,root
SAMN02870691,,root
SAMN02870692,,root
SAMN02870693,,root
SAMN02905709,,root
SAMN02905710,,root
SAMN02944889,control,
SAMN02944890,control,
SAMN02944891,control,
SAMN02944892,control,
SAMN02944893,control,
SAMN02944894,control,
SAMN02944895,heat,
SAMN02944896,heat,
SAMN03000708,,seed
SAMN03000709,,seed
SAMN03000710,,seed
SAMN03000711,,seed
SAMN03000712,,seed
SAMN03000713,,seed
SAMN03000714,,seed
SAMN03000715,,seed
SAMN03000716,,seed
SAMN03000717,,seed
SAMN03000718,,seed
SAMN03000719,,seed
SAMN03000720,,seed
SAMN03000721,,seed
SAMN03014458,deficit,shoot
SAMN03014459,deficit,shoot
SAMN03014460,deficit,shoot
SAMN03014461,deficit,shoot
SAMN03014462,deficit,shoot
SAMN03014463,deficit,shoot
SAMN03014464,deficit,shoot
SAMN03014465,deficit,shoot
SAMN03014466,deficit,shoot
SAMN03014467,deficit,shoot
SAMN03014468,deficit,shoot
SAMN03014469,deficit,shoot
SAMN03014470,deficit,shoot
SAMN03014471,deficit,shoot
SAMN03014472,deficit,shoot
SAMN03014473,deficit,shoot
SAMN03014474,deficit,shoot
SAMN03014475,deficit,shoot
SAMN03014476,deficit,shoot
SAMN03014477,deficit,shoot
SAMN03014478,deficit,shoot
SAMN03014479,deficit,shoot
SAMN03014480,deficit,shoot
SAMN03014481,deficit,shoot
SAMN03083677,,cotyledon
SAMN03083678,,cotyledon
SAMN03083679,,cotyledon
SAMN03083680,,cotyledon
SAMN03083681,,cotyledon
SAMN03083682,,cotyledon
SAMN03083683,,cotyledon
SAMN03083684,,cotyledon
SAMN03083685,,cotyledon
SAMN03083686,,leaf
SAMN03083687,,leaf
SAMN03083688,,leaf
SAMN03083689,,leaf
SAMN03083690,,leaf
SAMN03083691,,leaf
SAMN03083692,,leaf
SAMN03083693,,leaf
SAMN03083694,,leaf
SAMN03083695,,leaf
SAMN03083696,,leaf
SAMN03083697,,leaf
SAMN03083698,,leaf
SAMN03083699,,leaf
SAMN03083700,,leaf
SAMN03169132,,leaf
SAMN03169133,,leaf
SAMN03169134,,leaf
SAMN03169135,,leaf
SAMN03169136,,leaf
SAMN03169137,,petiole
SAMN03169138,,petiole
SAMN03169139,,petiole
SAMN03169140,,petiole
SAMN03169141,,petiole
SAMN03169142,,leaf
SAMN03169143,,leaf
SAMN03169144,,leaf
SAMN03169145,,leaf
SAMN03169146,,leaf
SAMN03169147,,petiole
SAMN03169148,,petiole
SAMN03169149,,petiole
SAMN03169150,,petiole
SAMN03169151,,petiole
SAMN03169152,,leaf
SAMN03169153,,leaf
SAMN03169154,,leaf
SAMN03169155,,leaf
SAMN03169156,,leaf
SAMN03169157,,petiole
SAMN03169158,,petiole
SAMN03169159,,petiole
SAMN03169160,,petiole
SAMN03169161,,petiole
SAMN03173245,,leaf
SAMN03173246,control,leaf
SAMN03173247,,leaf
SAMN03173248,control,leaf
SAMN03274363,control,leave
SAMN03274364,control,root
SAMN03275384,,root
SAMN03275399,,root
SAMN03275409,,root
SAMN03275417,,root
SAMN03275422,,root
SAMN03275425,,root
SAMN03275428,,root
SAMN03275431,,root
SAMN03275436,,root
SAMN03299425,,seed
SAMN03389587,control,cotyledon
SAMN03389589,,cotyledon
